"ID","SITE","CODE","tsID","PROV","labels"
"65","Likwala-Esobe km 186","LKW","1","","lkw#1"
"80","Munda","MUN","2","","mun#2"
"79","Munda","MUN","3","","mun#3"
"17","Pikunda","PIK","4","","pik#4"
"90","Pikunda","PIK","5","","pik#5"
"92","Pikunda","PIK","6","","pik#6"
"61","Dongo","DON","7","","don#7"
"77","Motenge-Boma","MTB","8","","mtb#8"
"93","Pikunda","PIK","9","","pik#9"
"40","Pikunda","PIK","10","","pik#10"
"36","Pikunda","PIK","11","","pik#11"
"71","Molanda","MLD","12","","mld#12"
"70","Mokelo","MKL","13","","mkl#13"
"75","Motenge-Boma","MTB","14","","mtb#14"
"85","Pandama","PDM","15","","pdm#15"
"86","Pandama","PDM","16","","pdm#16"
"78","Munda","MUN","17","","mun#17"
"82","Ngombe/NGL","NGL","18","","ngl#18"
"96","Sungu","SUN","19","","sun#19"
"95","Sungu","SUN","20","","sun#20"
"62","Itanga","ITN","21","","itn#21"
"72","Mondoli","MND","22","","mnd#22"
"97","Zama","ZAM","23","","zam#23"
"83","Nzambi","NZA","24","","nza#24"
"67","Mbati-Ngombe","MBN","25","","mbn#25"
"99","Bwambé-Sommet (Est)","BWS","26","","bws#26"
"100","Bwambé-Sommet (Est)","BWS","27","","bws#27"
"101","Bwambé-Sommet (Est)","BWS","28","","bws#28"
"102","Abang Minko'o","ABM","29","","abm#29"
"103","Abang Minko'o","ABM","30","","abm#30"
"111","Mobaka","MKA","31","","mka#31"
"174","Mitula","MIT","32","","mit#32"
"125","Ngbanja","NGB","33","","ngb#33"
"126","Ikenge","IKE","34","x","ike#34"
"134","Ikenge","IKE","35","x","ike#35"
"137","Ikenge","IKE","36","x","ike#36"
"159","Ekoli-Bokungu","EKB","37","x","ekb#37"
"160","Ekoli-Bokungu","EKB","38","x","ekb#38"
"161","Ekoli-Bokungu","EKB","39","x","ekb#39"
"155","Balinga-Bokonda","BBK","40","x","bbk#40"
"165","Liyolongo","LIY","41","x","liy#41"
"175","Salonga","SNP","42","","snp#42"
