SITE,FROM,TO,SOURCE,NOTE
Ikenge A,River Clay,Kneading,Eggert.1980c,
Ikenge A,Kneading,Primary Shaping,Eggert.1980c,
Ikenge B,River Clay,Mixing,Eggert.1980c,Mixing of iomba ya moindo & iomba ya mpembe
Ikenge B,Mixing,Kneading,Eggert.1980c,
Ikenge B,Kneading,Primary Shaping,Eggert.1980c,
Ituri,Terrestrial Clay,Kneading,Mercader.2000,
Ituri,Kneading,Primary Shaping,Mercader.2000,
Bukokomba II,Terrestrial Clay,T_Sand,Kanimba.1990,
Bukokomba II,T_Sand,Kneading,Kanimba.1990,
Bukokomba II,Kneading,Primary Shaping,Kanimba.1990,
?A,Terrestrial Clay,Crushing,Beaucorps.1951,60
?A,Crushing,T_Grog,Beaucorps.1951,
?A,T_Grog,Kneading,Beaucorps.1951,
Basakata,River Clay,Mixing,Bylin.1966,116; Mixing of mpembe with termite earth
Basakata,Mixing,Kneading,Bylin.1966,
Basakata,Kneading,Primary Shaping,Bylin.1966,
?B,Terrestrial Clay,Mixing,Colle,143; ibumba mixed with nsibu (type of pouzzolane)
?B,Mixing,Kneading,Colle,
?B,Kneading,Primary Shaping,Colle,
?C,River Clay,Crushing,Schmitz.1912,755
?C,Crushing,Kneading,Schmitz.1912,
?C,Kneading,Primary Shaping,Schmitz.1912,
