"MEAS","ELEMENT","pct","err"
"118","Si","29.8782","0.04683"
"118","Fe","7.5448","0.02762"
"118","Al","7.1198","0.04845"
"118","K","2.5105","0.07767"
"118","Ti","0.8216","0.00332"
"118","P","0.3300","0.00867"
"118","Ca","0.2697","0.00200"
"118","V","0.2533","0.00200"
"118","Zr","0.0767","0.00060"
"118","Cr","0.0542","0.00645"
"118","Ba","0.0529","0.00564"
"118","Mn","0.0478","0.00446"
"118","Cu","0.0279","0.00139"
"118","Zn","0.0155","0.00090"
"118","Ni","0.0126","0.00147"
"118","Ta","0.0114","0.00210"
"118","Rb","0.0099","0.00031"
"118","Nb","0.0084","0.00033"
"118","Pb","0.0076","0.00069"
"118","Sr","0.0070","0.00024"
"118","Sb","0.0070","0.00195"
"118","Th","0.0031","0.00035"
"119","Si","28.1631","0.05357"
"119","Fe","9.2345","0.03659"
"119","Al","6.5880","0.05630"
"119","K","3.7585","0.10054"
"119","Ti","0.9047","0.00415"
"119","Mg","0.4548","0.20637"
"119","P","0.4218","0.01103"
"119","Ca","0.3240","0.00259"
"119","V","0.2779","0.00251"
"119","Zr","0.0910","0.00080"
"119","Ba","0.0779","0.00732"
"119","Cr","0.0658","0.00827"
"119","Mn","0.0614","0.00555"
"119","Cu","0.0360","0.00204"
"119","Zn","0.0188","0.00129"
"119","Ta","0.0166","0.00330"
"119","Rb","0.0127","0.00042"
"119","Ni","0.0104","0.00193"
"119","Pb","0.0103","0.00090"
"119","Nb","0.0094","0.00044"
"119","Sr","0.0093","0.00034"
"119","Sb","0.0092","0.00255"
"119","Co","0.0044","0.00198"
"119","Th","0.0035","0.00045"
"119","Hg","0.0018","0.00083"
"119","Mo","0.0016","0.00049"
"120","Si","28.9370","0.05312"
"120","Fe","8.0179","0.03331"
"120","Al","6.2790","0.05406"
"120","K","3.6152","0.09798"
"120","Mg","1.0375","0.20264"
"120","Ti","0.8590","0.00398"
"120","P","0.3989","0.01068"
"120","Ca","0.3108","0.00250"
"120","V","0.2727","0.00244"
"120","Zr","0.0864","0.00075"
"120","Zn","0.0506","0.00165"
"120","Cr","0.0457","0.00774"
"120","Ba","0.0409","0.00622"
"120","Mn","0.0404","0.00522"
"120","Cu","0.0338","0.00186"
"120","Ta","0.0106","0.00287"
"120","Ni","0.0105","0.00180"
"120","Rb","0.0101","0.00037"
"120","Sb","0.0089","0.00217"
"120","Sr","0.0081","0.00030"
"120","Nb","0.0078","0.00040"
"120","Pb","0.0075","0.00080"
"120","Th","0.0031","0.00042"
"120","Mo","0.0012","0.00043"
"121","Si","30.0477","0.04318"
"121","Fe","7.2459","0.02446"
"121","Al","7.1475","0.04431"
"121","K","2.1788","0.06685"
"121","Ti","0.7020","0.00281"
"121","Mg","0.6556","0.13645"
"121","Ca","0.3630","0.00203"
"121","P","0.2653","0.00730"
"121","V","0.2460","0.00178"
"121","Zn","0.0912","0.00156"
"121","Mn","0.0653","0.00405"
